Date/Time,Environmental Audio Exposure (dBASPL),Source
2022-03-08 17:51:21,76.45,Mithat Can’s Apple Watch
2022-03-08 18:21:21,69.98,Mithat Can’s Apple Watch
2022-03-08 18:51:16,72.66,Mithat Can’s Apple Watch
2022-03-08 19:21:16,65.81,Mithat Can’s Apple Watch
2022-03-08 19:51:11,69.31,Mithat Can’s Apple Watch
2022-03-08 20:21:06,67.92,Mithat Can’s Apple Watch
2022-03-12 19:34:23,73.9,Mithat Can’s Apple Watch
2022-03-12 20:04:18,66.33,Mithat Can’s Apple Watch
2022-03-12 20:34:18,66.56,Mithat Can’s Apple Watch
2022-03-12 21:04:18,57.69,Mithat Can’s Apple Watch
2022-03-13 01:56:57,76.81,Mithat Can’s Apple Watch
2022-03-13 02:26:52,79.82,Mithat Can’s Apple Watch
2022-03-13 02:56:52,82.06,Mithat Can’s Apple Watch
2022-03-13 03:26:47,65.92,Mithat Can’s Apple Watch
2022-03-13 13:53:23,66.28,Mithat Can’s Apple Watch
2022-03-13 14:23:23,68.09,Mithat Can’s Apple Watch
2022-03-13 20:53:02,65.12,Mithat Can’s Apple Watch
2022-03-13 21:22:57,90.74,Mithat Can’s Apple Watch
2022-03-13 21:52:57,97.01,Mithat Can’s Apple Watch
2022-03-13 22:22:57,79.87,Mithat Can’s Apple Watch
2022-03-13 22:52:52,79.24,Mithat Can’s Apple Watch
2022-03-14 16:07:59,70.69,Mithat Can’s Apple Watch
2022-03-14 16:37:54,68.37,Mithat Can’s Apple Watch
2022-03-14 17:07:49,65.84,Mithat Can’s Apple Watch
2022-03-14 17:37:44,69.68,Mithat Can’s Apple Watch
2022-03-14 18:07:39,71.36,Mithat Can’s Apple Watch
2022-03-14 18:37:34,65.06,Mithat Can’s Apple Watch
2022-03-14 19:07:34,61.54,Mithat Can’s Apple Watch
2022-03-15 18:14:33,66.8,Mithat Can’s Apple Watch
2022-03-15 18:44:28,70.59,Mithat Can’s Apple Watch
2022-03-15 19:14:28,68.87,Mithat Can’s Apple Watch
2022-03-15 19:44:28,71.81,Mithat Can’s Apple Watch
2022-03-15 20:14:28,68.9,Mithat Can’s Apple Watch
2022-03-15 20:44:23,69.67,Mithat Can’s Apple Watch
2022-03-15 21:14:18,64.28,Mithat Can’s Apple Watch
2022-03-16 16:24:14,68.43,Mithat Can’s Apple Watch
2022-03-18 12:37:47,77.95,Mithat Can’s Apple Watch
